video_id,duration,bitrate,bitrate(video),height,width,frame rate,frame rate(est.),codec,category,url,title,description,hashtags,views,likes,comments,audio_path,Transcript,Translate
-0DR7-voRCU,562,431,300,320,240,29.97,0.0,h264,People & Blogs,https://www.youtube.com/watch?v=-0DR7-voRCU,Sister's Keeper Impression,A Review of the Shampoo Bar(Sunburst) and Dip Moisturizer,"natural hair, first impression, sister's keeper products, review, Dip hair and body moisturizer, product review",43,1,0,/content/drive/MyDrive/EGBI222_Group Project_1/audio/-0DR7-voRCU.mp3,"Hey everyone welcome back to my channel so I'm in here to do my first impressions of my sisters keepers products as you guys know I got the What do you call it shampoo bar and I got the dip hair and body moisture I'm not recording in my makeup room Yeah, um endometriosis has been being a biatch So I'm on bearish, but anyway, I was feeling a little better today and so I got up and did some stuff around the house I vacuumed the floors all the floors upstairs not my smartest idea Don't vacuum when you coming off a bearish. That's just stupid like I'll be extra sometimes I need y'all to pray for me. I'm real extra. I don't even know You know my mama used to always tell me work smart not hard. I ain't got it yet. I'm 37 When I'ma get it, she would be so disappointed in me right now. I digress. So I used it, okay? So I got in the shower, all that good stuff wet my hair and I used the shampoo bar. Of course, you know, there's no mirror in my shower. I mean, how vain is that? But I couldn't see the lather but I could hear and feel the lather of the shampoo bar like almost instantly. Like instantly and as I'm reading my card here it says that you can use the shampoo bar on Your hair and your body and it's natural. So the ingredients in the shampoo bar are I got the as you all saw my last video I got the sunburst bar The ingredients are coconut oil palm oil safflower oil vegetable glycerin purified water honey shea butter mustard seed oil moisturizers emulsifier Neem oil Soy bean protein which is the conditioner and fragrance and the shampoo bar was five ounces. So I washed my hair I lathered it up. I massage my scalp a little bit and I Washed it I was able to take my comb and actually detangle my hair like comb through my hair effortlessly No drama at all with detangling so That was great. And then I rinsed. Here comes the sad part. After I rinsed my hair, my scalp started itching. But this is the sunburst shampoo bar and keep in mind this is the mini because I got it as a free sample with my order. It may be some citrus going on in here. It doesn't say, but it may be because of the smell. It smells like tangerine. like almost so it may be citrus in there and that may be the itching now it didn't itch excessively like when I shampoo with my organic it didn't itch like that so I don't know if this is an issue of a there's some citrus in here which I really believe it is or be my head just don't like shampoo but I have to shampoo my hair so I'm gonna have to start a preview I'm going to be buying some shame moisture products and stuff like that something that doesn't have serp I mean softer in it to wash my hair. So yeah, okay, so on to the Dip hair and body moisture. This is the two ounce bottle I believe four ounce two ounce. I don't know I forget I think it's four ounces Or two ounces. I don't know cuz keep in mind I bought this just to see if I would like their product So the ingredients are here is distilled water and fused with Burdock root and nettle leaf, slippery am, hemp seed butter, coconut oil, hazelnut oil, patina, alcohol in it. Emulsifier, natural thickener and fragrance. I got the berry vanilla. Again, this is it. It is like super thick. This is what it looks like. It smells good. You can smell the berries and the vanilla in it. It was creamy I'll show it to you since I can put it on my body Here is the It's creamy Let's see how it does on my hand It rubs in it is a little residue. Well, no, it's gone. It does rub in It rub then so I like it The only thing is I used it on my hair and it kind of sat there Yeah, it kind of left a white I'm not gonna show you all my hair. We've been down that street. My hair is like right here. You know my top is damaged, but that's my side. So it's super soft. It's really moisturized. I'd wash my hair, detangle, put my leave in condition. I put this on for after my hair you know I dried it off a little bit just to get the excess off I put this on rub the end root to tip and then I sealed with my coconut oil so that's the LCO instead of the lock LLC And yeah, it kind of sat there. So it did leave a little residue But I mean I like it I ordered this product on June 29th I got a message from them on Facebook like within two hours saying that my product was shipped the next day I got a tracking in my on my PayPal And I got it all within five days shipping customer service perfection perfection but I don't know if this is good for me because like my head is hurting now I didn't have a headache before I took my shower so I'm gonna take a bit of drill because I don't think I can use the shampoos at least but yeah I'm going to use this onto Maya's hair so you all can see her see the lather and all that of it so I will do a final impressions of and see how it does for her but for me sisters keepers products for my hair won't work they won't work so yeah I appreciate you guys let's see hey to my new subscribers I see you I do see you bear with me y'all I'm going through some things but I am still here I have another product to review next week which is the as I am Cocoa I'm gonna have a really fun casual no fuss no must kind of day because to my birthday is the Sunday before mine so the fuss goes on her and my birthday kind of yeah whatever but next year kid free birthday out of town baby yes I'm gonna have that hysterectomy I'm gonna be on it popping but anyway guys this is my review on the sisters keepers shampoo bar and dip hair and body moisturizer I will be back with my final impression this weekend because Tamiya hair is busted and I gotta take it that well she gonna take it down and I'm gonna do something with it yeah until we get it braided school. So as always guys thanks for watching remember to rate comment and subscribe and as always be amazing bye","Hey everyone, welcome back to my channel so I'm in here to do my first impressions of my sisters keepers products as you guys know I got the What do you call it shampoo bar and I got the dip hair and body moisture I'm not recording in my makeup room Yeah, um end on me. Cheer else. This has been being a be-och So I'm on bearish, but anyway, I was feeling a little better today and so I got up and did some stuff around the house I vacuumed the floors all the floors upstairs not my smartest idea Don't vacuum when you coming off a bearish. That's just stupid like I'll be extra sometimes I need y'all to pray for me. I'm real extra. I don't even know You know my mama used to always tell me work smart not hard. I ain't got to yet. I'm 37 When I'm a get it she would be so disappointed in me right now. I digress so I used it Okay, so I got in the shower all that good stuff wet my hair and I use the the shampoo bar Of course, you know, there's no mirror in my shower. I mean, how vain is that? But I couldn't see the ladder but I could hear and feel the ladder of the shampoo bar like almost instantly Like instantly and as I'm reading my card here it says that you can use the shampoo bar on Your hair and your body and it's natural. So the ingredients in the shampoo bar are I got the as you all saw my last video I got the sunburst bar The ingredients are coconut oil palm oil safflower oil vegetable glycerin purified water honey shea butter mustard seed oil moisturizers emulsifier Soy bean protein which is the conditioner and fragrance and the shampoo bar was five ounces So I washed my hair I lathered it up. I massage my scalp a little bit and I Washed it I was able to take my comb and actually detangle my hair like comb through my hair effortlessly No drama at all with detangling so That was great. And then I rinsed. Here comes the sad part. After I rinsed my hair, my scalp started itching. But this is the sunburst shampoo bar and keep in mind this is the mini because I got it as a free sample with my order. It may be some citrus going on in here. It doesn't say, but it may be because of the smell. It smells like tangerine. like almost so it may be citrus in there and that may be the itching now it didn't itch excessively like when I shampoo with my organic it didn't itch like that so I don't know if this is an issue of a there's some citrus in here which I really believe it is or be my head just don't like shampoo but I have to shampoo my hair so I'm gonna have to start a preview I'm going to be buying some shame moisture products and stuff like that something that doesn't have ser I mean softer in it to wash my hair. So yeah, okay, so on to the Dip hair and body moisture. This is the two ounce bottle I believe four ounce two ounce. I don't know I forget I think it's four ounces Or two ounces. I don't know cuz keep in mind I bought this just to see if I would like their product So the ingredients are here is distilled water and fused with Burdock root and nettle leaf, slippery am, hemp seed butter, coconut oil, hazelnut oil, Pantana, alcohol in it. Emulsifier, natural thickener and fragrance. I got the berry vanilla. Again, this is it. It is like super thick. This is what it looks like. It smells good. You can smell the berries and the vanilla in it. It was creamy I'll show it to you since I can put it on my body Here is the It's creamy Let's see how it does on my hand It rubs in it is a little residue. Well, no, it's gone It does rub in it rub in so I like it The only thing is I used it on my hair and it kind of sat there Yeah, it kind of left a white It leaves a little residue, but my hair is super soft. I put this on for after my hair dried it off a little bit. And yeah, it kind of sat there so it did leave a little residue But I mean I like it I ordered this product on June 29th I got a message from them on Facebook like within two hours saying that my product was shipped the next day I got a tracking in my on my PayPal And I got it all within five days shipping customer service perfection perfection but I don't know if this is good for me because like my head is hurting now I didn't have a headache before I took my shower so I'm gonna take a bit of drill because I don't think I can use the shampoos at least but yeah I'm going to use this on Tamaya's hair so you all can see her see the lather and all that of it so I will do a final impressions of and see how it does for her but for me sisters keepers products for my hair won't work they won't work so yeah I appreciate you guys let's see hey to my new subscribers I see you I do see you bear with me y'all I'm going through some things but I am still here I have another product to review next week which is the as I am Cocoa I'm gonna go out pick up some products, you know We get a certain age and you struggle like I do birthdays take on new meanings So I'm gonna have a really fun casual no fuss no must kind of day because to my birthday is the Sunday before mine so the fuss goes on her and my birthday kind of yeah whatever but next year kid free birthday out of town baby yes I'm gonna have that hysterectomy I'm gonna be on it popping but anyway guys this is my review on the sisters keepers shampoo bar and dip hair and body moisturizer I will be back with my final impression this weekend because Tamiya hair is busted and I gotta take it that well she gonna take it down and I'm gonna do something with it yeah until we get it braided school. So as always guys thanks for watching remember to rate comment and subscribe and as always be amazing. Bye."
-0kAY-vAVBc,228,5880,5686,1920,1080,25.0,25.0,h264,Music,https://www.youtube.com/watch?v=-0kAY-vAVBc,LAURA POTHIN . DANS MES VEINES BY SUNSHINE974PROD,"Extrait du maxi CD ""Dans mes veines"" de Laura Pothin , disponible dans les bacs à La Reunion","2013, La reunion, zouk love",1876,0,0,/content/drive/MyDrive/EGBI222_Group Project_1/audio/-0kAY-vAVBc.mp3,"Passer minuit, maintenant que je dépose Baby, crois-moi, je te lâche pas T'es déjà gravée en moi, chérie, sent-toi","I spent my nights Now that I'm divorced Baby, believe me, I won't let you go You're already pregnant, my love, listen to me"
-4hEo-fTtXw,70,546,417,640,360,30.0,0.0,h264,Autos & Vehicles,https://www.youtube.com/watch?v=-4hEo-fTtXw,2008 Chevrolet Silverado 1500 Brewton Alabama 9644C,"2008 Chevrolet Silverado 1500 LT w/1LT www.JimPeachMotors.com  For more information on this vehicle and our full inventory, call us at 2518676212  Jim Peach Motors 518 South Blvd Brewton Alabama 36426  You'll love this 2008 Chevrolet Silverado 1500. This is a car you'll want to take home. With 100754 miles, it features Automatic transmission and an exterior color of SUMMIT WHITE. Call 2518676212 and get in touch with Jim Peach Motors directly, and be the first to open the car door today!","1500, 2008, Brewton, JimPeachMotors, Silverado, Cars, Chevrolet",3,0,0,/content/drive/MyDrive/EGBI222_Group Project_1/audio/-4hEo-fTtXw.mp3,"The 2008 Chevy Silverado 1500. The Chevy Silverado 1500 has the lowest cost of ownership of any full-size pickup. This vehicle has less than 105,000 miles. Here are some of this vehicle's great options. automatic climate control. This beauty will even make your house keys jealous. Drive it today!","The 2008 Chevy Silverado 1500. The Chevy Silverado 1500 has the lowest cost of ownership of any full-size pickup. This vehicle has less than 105,000 miles. Here are some of this vehicle's great options. automatic climate control. This beauty will even make your house keys jealous. Drive it today!"
-5bGY-Sz1oo,95,3095,2901,1276,720,30.0,30.0,h264,People & Blogs,https://www.youtube.com/watch?v=-5bGY-Sz1oo,Game 2013 06 09 21 12 29 953,,,20,0,0,/content/drive/MyDrive/EGBI222_Group Project_1/audio/-5bGY-Sz1oo.mp3,"заложить бомбу! не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо, не надо","Get down to the bomb! All units! Bomb is at us! Get down to the center! I'm done! Did you kill the respawn? Yes, I killed it! One more! This is an account! Don't forget to throw it! How to record a video? I don't want to get a single one from the hospital. So, you're a pro, and you're a pro. No, but I'm on my own resp. That's all. I mean, it's through the f**k. Damn, I have 5. Damn. Damn. What a f**k. I'm not going to go. I have glasses on."
-8Iq8-A5gXY,138,852,739,640,480,25.0,0.0,h264,People & Blogs,https://www.youtube.com/watch?v=-8Iq8-A5gXY,Matt et Elodie sur le tapis de jeux / on the playmat,,"Coulter, Antoine, Dubai, Matt",105,0,0,/content/drive/MyDrive/EGBI222_Group Project_1/audio/-8Iq8-A5gXY.mp3,"il était une fille c'est aussi tu es une fille regarde comment elle attrape bien maintenant les petits jeux tu as aussi, tu as fait tes bébés aussi tu les as trappées regarde bravo chérie une voiture conduit dans une voiture avec l'audi vous êtes dans la voiture On marche, avancez bientôt. Ok, on va faire ça. Attention !","Look how she catches the little games now! You too, you catch them too! Look at you, honey! A car, a car like the Audi, driven in a car with the Audi. You are in the car. And you are going to drive the Audi in the car. I'm going to go to the car and look at the little girls she can catch the little subjects the stars which color the stars match and the square maybe the square is a little blue and the round and oval the oval See you soon! Ok, we're going to do that. Attention!"
-9QqI-vAFOw,431,708,585,640,480,25.0,0.0,h264,People & Blogs,https://www.youtube.com/watch?v=-9QqI-vAFOw,RMB (6) CINZA 2x2 ROXO - 18/05/2013,Racha Minha Benga Racha realizado no Ginásio da Universidade Federal de Campina Grande. No facebook - http://www.facebook.com/groups/243709979039689/,"benga, rmb 2013, racha minha benga, racha, minha, rany, rany34, rmb, ranyere",5,0,0,/content/drive/MyDrive/EGBI222_Group Project_1/audio/-9QqI-vAFOw.mp3,"O problema é que a rede não está chutando. A gente não está arrocando bem, só apor. Mas na hora de... Só a gente só leva o gol besta, bicho. Tá bom. Hoje é para mim, porque eu ia chegar nele, é só filho ratar o pé. Diquei. Foi não, foi não. Tem que ter certeza de que ele vai ganhar. Se estimar... Eu no finalzinho, foda-lhe se ver aqui. Mas quem vai perder ainda.","The problem is that the network is not jumping. The team is not throwing their asses well, but when we just take the ball, it's like a beast. I'm going to get to him today, his daughter is going to kick his ass. What? It wasn't, it wasn't. You have to be thinking about winning. If this game at the end, fuck this, come here, but who will lose?"
-AAKo-xPjzs,120,530,419,480,360,25.0,25.0,h264,Music,https://www.youtube.com/watch?v=-AAKo-xPjzs,+Org XIII Sing Along: Won't Say I'm in Love+,"Axel sings ""Won't Say I'm in Love"" from Hercules, Marluxia and Demyx sing backup as Muses.    Just for fun, so no criticism please...    see us on deviantART at:  WindnStorm  NayruAsukei  Kailana-Sama","organization, demyx, vexen, 13, XIII, org, axel, disney, marluxia, sing, along",2575,18,15,/content/drive/MyDrive/EGBI222_Group Project_1/audio/-AAKo-xPjzs.mp3,"If there's a price for rotten judgement, I guess I've already warned that. No matter's worth the aggravation, that ancient history been there done that. Who'd you think you're kidding? He's the earth and heaven, here you try to keep it hidden. Honey, we can see right through that girl you kept concealing. How you thinkin' around? I","If there's a price for rotten judgement, I guess I've already warned that. No matter's worth the aggravation, that ancient history been there done that. Who'd you think you're kidding? He's the earth and heaven, here you try to keep it hidden. Honey, we can see right through that girl you kept concealing. How you thinkin' around? I"
-D8bi-9QjAA,440,4554,4425,1920,1080,25.0,25.0,h264,Nonprofits & Activis,https://www.youtube.com/watch?v=-D8bi-9QjAA,Pater Shay Cullen zu Umwelt und Entwicklung auf den Philippinen,"Die Filme von „Vernetzte Er.de""    Für die Recherchen  zum Projekt „vernetzte-er.de"" in den Philippinen wurden zahlreiche Gespräche mit Vertretern unterschiedlicher Organisationen geführt. Dabei entstanden auch etliche Video-Interviews, die der 14-jährige Felix Bröckling aus Köln führte.  Felix entdeckt darin -- vielleicht stellvertretend für andere deutsche Jugendliche -- viele Themen, die auf den Philippinen aktuell sind und den Menschen dort auf den Nägeln brennen. Die Aussagen, die seine Gesprächspartner machen, sind aktuell und vor allem sehr authentisch. Denn es ist sinnvoll nicht nur ÜBER die Philippinen und ihre Herausforderungen zu reden, sondern möglichst auch MIT Filipinas und Filipinos. Ihnen und ihrer Sicht der Dinge zuzuhören ist eine seltene Chance zum Verständnis.   Die Videos sind mit deutschen Untertiteln versehen.  Mehr zu diesem Projekt: www.vernetzte-er.de","fischer, environment, aufforstung, preda, lebensmittel, umwelt, overfishing, development, landrecht, vernetzte, bergbau, philippinen, aeta, rural, erde, krise, reiskrise, mining, klimawandel, rainforest, nahrung, poverty, hunger, change, shay, cullen, ländliche, crisis, philippines, rice, indigene, people, food, entwicklung, indiginous, climate, überfischung, armut, regenwald",426,2,2,/content/drive/MyDrive/EGBI222_Group Project_1/audio/-D8bi-9QjAA.mp3,"And what about the mining and human rights of the indigenous people, the AITAS? What about them? pit mining which is bulldozing the whole mountain and cutting all the trees. So we're trying to stop that. And we have a campaign here with rallies on the street and many other actions to pressure the government here and the foreign governments to intervene and to control this mining activity and even stop it. Now in the Philippines there is a food crisis. rice shortages, the seas are overfished, and how do you think about this situation? The reason of the rice shortage is the lack of government assistance to farmers, a lot of corruption. Money that was given to improve the rice production was stolen by government officials. Another, the international commodity Dealers have also increased the price, which means that here in the Philippines, the price has risen so high, the poor people cannot afford. Rice has increased by one-third in the last two years. And this is international manipulation by multinational corporations. It's not just a local problem here, so the international community is also involved in this. And another one is the urbanization of land, building and constructing, no, on rice land, which has reduced the area of coverage. The failure of government to help farmers, you know, who are very poor to produce rice, that's part of the problem. The urbanization, many people know jobs, there is no future for them to plant food and rice. cities looking for jobs. And so they live there in very bad conditions in a slum area. But the land is left undeveloped, uncultivated. Another problem with the government is giving land to multinational corporations to grow food for export to other countries abroad. So they are growing food for Saudi Arabia, for Korea, but they're not growing food for the people of the Philippines. So the use of land or the misuse of land in a giving it away to others is a corrupt know a very corrupt action and they are Caused in a great part of this hunger and poverty in the Philippines And just pray I fight against this Well, we have yeah what we do at Prada for this is to try to support Farmers organizations as I said earlier the indigenous people The Pacific Ocean is nearly overfished. Do you feel the effects of the overfishing here? The history of the Philippines is a big problem. You've got to over fishing, but it's over fishing by foreign fishing fleets. Here, the majority of the fishing folk or the people have only small boats. They cannot go into the far ocean of Philippine waters, no? They only can do coastal fishing. And the amount of fish in the coastal area is less and less because of pollution. The water is damaged, the fish don't grow, the coral reef is damaged as well, so the fish do not propagate close to the shore. But the poor fishermen can only go just a few kilometers outside into the ocean. The big fishing fleets know it, factory ships, they come here from Taiwan, from Japan, to far other countries and they are getting all the fish from the Philippine waters. Most of the rainforests have been cut away in the last 60, 70 years. So that has caused lots of problems as regarding landslides. You know that the mountains are eroding, the soil is washing into the ocean, and that is polluting the ocean and depleting the quality of the soil. This is a major problem here. Therefore, the climate is also with global warming. It's also impacting here. We have more violent storms now and more frequent storms bashing the Philippines. Floods, no, have been destroying property, no. Much more could be done here in the planting of rainforests, which is a work that we have prayed our doing. The most we can do to alleviate global warming is planting and planting more and more trees. And we also encourage alternative forms of energy. and opposing coal plants. We are trying to oppose the generation of electricity from burning of fossil fuels, oil and coal, and we are encouraging the use of solar power and wind power, but the government is not very interested in this.","And what about the mining and human rights of the indigenous people, the AITAS? What about that? pit mining which is bulldozing the whole mountain and cutting all the trees. So we're trying to stop that. And we have a campaign here with rallies on the street and many other actions to pressure the government here and the foreign governments to intervene and to control this mining activity and even stop it. Now in the Philippines there is a food crisis. rice shortages, the seas are overfished, and how do you think about this situation? The reason of the rice shortage is the lack of government assistance to farmers, a lot of corruption. Money that was given to improve the rice production was stolen by government officials. Another international commodity Dealers have also increased the price, which means that here in the Philippines the price has risen so high, the poor people cannot afford. Rice has increased by one-third in the last two years. And this is international manipulation by multinational corporations. It's not just a local problem here, so the international community is also involved in this. And another one is the urbanization of land, building and constructing, no, on rice land, which has reduced the area of coverage. The failure of government to help farmers who are very poor to produce rice, that's part of the problem. The urbanization, many people know jobs, there is no future for them to plant food and rice. cities looking for jobs. And so they live there in very bad conditions in a slum area. But the land is left undeveloped and cultivated. Another problem with the government is giving land to multinational corporations to grow food for export to countries abroad. So they are growing food for Saudi Arabia, for Korea, but they're not growing food for the people of the Philippines. So the use of land or the misuse of land in a giving it away to others is a corrupt know a very corrupt action and they are Caused in a great part of this hunger and poverty in the Philippines And just pray I fight against this Well, we have yeah, what we do at Prada for this is to try to support Farmers organizations as I said earlier the indigenous people who are fighting for their land rights. We even rejoin rallies and do a lot of publicity, awareness. We have succeeded helping people get their land rights. We promote the growing and the reforestation of the land to preserve the soil. The Pacific Ocean is nearly overfished. Do you feel the effects of the overfishing here? The history of the Philippines is a big problem. You've got to over fishing, but it's over fishing by foreign fishing fleets. Here the majority of the fishing folk or the people have only small boats. They cannot go into the far ocean of Philippine waters, no? They only can do coastal fishing. And the amount of fish in the coastal area is less and less because of pollution. The water is damaged, the fish don't grow, the coral reef is damaged as well. So the fish do not propagate close to the shore. But the poor fishermen can only go just a few kilometers outside into the ocean. The big fishing fleets know with factory ships, they come here from Taiwan, from Japan, to far other countries and they are getting all the fish from the Philippine waters. Most of the rainforests have been cut away in the last 60, 70 years. So that has caused lots of problems as regarding landslides. You know that the mountains are eroding, the soil is washing into the ocean, and that is polluting the ocean and depleting the quality of the soil. This is a major problem here. Therefore, the climate is also with global warming. It's also impacting here. of climate we have more violent storms now and more frequent storms bashing the Philippines. Floods, no, have been destroying property, no. Much more could be done here in the planting of rainforests, which is a work that we have prayed our doing is the most we can do to alleviate no global warming, no, is planting and planting more and more trees. And we also encourage alternative forms of energy. and opposing coal plants. We are trying to oppose the generation of electricity from burning of fossil fuels, oil and coal and we are encouraging the use of solar power and wind power but the government is not very interested in this."
-FjFN-wVoZM,257,3114,2979,1280,720,29.92,29.97,h264,Science & Technology,https://www.youtube.com/watch?v=-FjFN-wVoZM,Logitech Alert 750i Master Security System Unboxing,Logitech Alert 750i Master Security System Unboxing,"Logitech, Review, Alert, 750i, Master, Unboxing, System, Camera, Security",24354,10,8,/content/drive/MyDrive/EGBI222_Group Project_1/audio/-FjFN-wVoZM.mp3,"Hey, welcome to DIY guides today. I've got an unboxing for you of the Logitech alert 750i master system. It's a complete video security system. You can set up yourself works with iPod iPhone Blackberry and Android so you can monitor things On the go. All right, let's check it out here. I can get this out. It's a box in a box on the top You'll find the camera here underneath got more MicroSD card adapter here looks like ethernet port lock on lock and there's a micro SD card down inside there it's already installed mount for it guess it'll be a microphone I'm not sure there's another mount on here so you can mount this two different ways actually you can mount it you know like that on a window with a little suction cup that they have included with it or you can mount on a desk with this little desk mount and this looks like a adapter for the power supply. Not sure what this is. This would be the power supply here. I'll cover on it. Rather large power supply. Here's the power. My phone is ringing of course. Anyway, I got on off LED. The power supply clips in like so. Or the power adapter. Sorry about that. This is the cable here in this bag. It looks like an Ethernet cable, but it's thin. As you can see, it's very thin. Here's the connections here. This looks to be an extension. You have a suction cup there. That would be the suction cup I was telling you about. Inside this little bag, we have... This is the mounts. You put it all together. It's rather heavy too. We have a mounting hardware as well for it. In here, Another one. Another power adapter. Another power supply. That's the same thing. And another cable. Oops, there's another one here. It was stuck in the box. It's another suction cup. This is that one that would go in the front I would guess. I don't see anything else here. Okay, well that looks like it's it then. That's Logitech Alert 750i Master Security System. Again, there's a little camera there for you. That's it. Let me test it and I'll get back to you. Thanks.","Hey, welcome to DIY guides today. I've got an unboxing for you of the Logitech alert 750i master system. It's a complete video security system. You can set up yourself works with iPod iPhone Blackberry and Android so you can monitor things On the go. All right, let's check it out here. I can get this out. It's a box in a box on the top You'll find the camera here underneath got more MicroSD card adapter here looks like ethernet port lock on lock and there's a micro SD card down inside there it's already installed mount for it guess it'll be a microphone I'm not sure there's another mount on here so you can mount this two different ways actually you can mount it you know like that on a window with a little suction cup that they have included with it or you can mount on a desk with this little desk mount and this looks like a adapter for the power supply. Not sure what this is. This would be the power supply here. I'll cover on it. Rather large power supply. Here's the power. My phone is ringing of course. Anyway, I got on off LED. The power supply clips in like so. Or the power adapter. Sorry about that. This is the cable here in this bag. It looks like an Ethernet cable, but it's thin. As you can see, it's very thin. Here's the connections here. This looks to be an extension. You have a suction cup there. That would be the suction cup I was telling you about. Inside this little bag, we have... This is the mounts. You put it all together. It's rather heavy too. We have a mounting hardware as well for it. In here, Another one. Another power adapter. Another power supply. That's the same thing. And another cable. Oops, there's another one here. It was stuck in the box. It's another suction cup. This is that one that would go in the front, I would guess. I don't see anything else here. Okay, well that looks like it's it then. That's Logitech Alert 750i Master Security System. Again, there's a little camera there for you. That's it. Let me test it and I'll get back to you. Thanks."
-IXJq-6YEw8,243,764,641,640,480,29.97,0.0,h264,Nonprofits & Activis,https://www.youtube.com/watch?v=-IXJq-6YEw8,FÓRUM Pessoa com Deficiência - Vale Mais - TV Unisinos - abril 2012,FÓRUM Pessoa com Deficiência - Vale Mais - TV Unisinos - abril 2012,"TV Unisinos, Vale Mais",14,0,0,/content/drive/MyDrive/EGBI222_Group Project_1/audio/-IXJq-6YEw8.mp3,"Espero que eu aprendo mais coisas a respeitar de essa questão da sensibilidade das crianças, porque eu atuo com elas e eu acho bem importante para a gente poder abrir os nossos horizontes a respeito desse assunto. Foi com essas expectativas que os participantes chegaram ao primeiro Fórum Regional de Defesa dos Direitos da Pessoa com Deficiência. Antes do início das discussões, um grupo de dançaria nos de São Leopoldo apresentou uma coreografia. O diferencial é que um dos integrantes é deficiente visual. Mas para ele, não há de dificuldades. do Estado, do Rio do Sul, do Brasil, do mundo. Agora nós estamos então em um processo importante que é o avanço das políticas sociais, sempre num olhar emancipatório, compreendendo a pessoa com deficiência como protagonista da história, de si própria, alguém que pode realmente ser como cidadão, de fato, alguém que tenha acesso a todas as políticas sociais, a participação em todas as atividades. O objetivo do evento foi o de promover a troca de experiência e incentivar para que mais pessoas se envolvam com as questões de melhorias para pessoas com deficiência. uma mobilização do Estado para a melhoria dessas questões referentes a pessoas com deficiência. Entre as micro-regiões estão Carazinho, São Leopoldo, Dom Pedrito, Caxias do Sul e São Luiz Gonzaga. Cada município ficou responsável pelas cidades da região da qual faz parte. 65 municípios, por exemplo, são de responsabilidade de São Leopoldo. conseguir avançar.","We hope to have a more amplified knowledge for those who can meet this demand of the PCD. We have a expectation to know more about how this policy works for the efficiency holders, so that we can help more in the community where we work, to know how to rescue the link with these efficiency holders. We are looking for a little more experience about the rights of people with disabilities. I hope that I learn more about It was with these expectations that the participants arrived at the first regional defense forum of the right of the person with disabilities. Before the beginning of the discussions, a group of dancers from São Leopoldo presented a choreography. The differential is that one of the members is a visual defect. But for him, there is no difference between the two. I can't find a difficulty because people who are with me are very capable, very well trained to help me. But we just want to trust the moment. During the event, plans and projects were presented that predict improvements for public policies for people with disabilities. For the president of the Articulation Foundation for Development of Public Policy for People with Disabilities, the progress is constant. Today's social inclusion is a big topic. of the State, of the South, of Brazil, of the world. Now we are in an important process, which is the advance of social policies, always looking at emancipation, understanding the person with efficiency as the protagonist of history, of this own, someone who can really be like a citizen, in fact, someone who has access to all social policies, participation in all activities. The goal of the event was to promote the exchange of experience to encourage more people to get involved in improving people's efficiency. In fact, a movement like this strengthens the movement, depending on the discussions and changes of experience that will happen here, because each municipality, due to its specificity, will also have its difficulties. For example, what is good in São Neopoldo? We will put it here so that it can also be and other municipalities. Together we will also invite other municipalities to create new advice so that this, increasingly, will change the lives of people with disabilities and their families. In a meeting held in November 2011, Rio Grande do Sul was divided into five micro-regions to discuss public policies for people with disabilities. This is the second region that makes the meeting. And for the authorities present here, this represents a state mobilization to improve these issues related to people with disabilities. Among the micro-regions are Carazinho, São Leopoldo, Dom Pedrito, Caxias do Sul and São Luiz Gonzaga. Each municipality was responsible for the cities in which it is part of. 65 municipalities, for example, are responsible for São Leopoldo. and also national in the issue of the person with the deficiency. So we develop the main accessibility in our whole, in access to the buildings, to the buses, to work, health, education. Anyway, everything that refers to accessibility of the person with the deficiency, this work territory. There are many things to be done, but I believe that through work, through the commitment that people have, I believe that we will I managed to advance."
