video_id,duration,bitrate,bitrate(video),height,width,frame rate,frame rate(est.),codec,category,url,title,description,hashtags,views,likes,comments,audio_path,Transcript,Translate
--F7dc-_FSI,180,5777,5640,1920,1080,25.0,25.0,h264,News & Politics,https://www.youtube.com/watch?v=--F7dc-_FSI,«السودان ينتفض» أمام السفارة بالقاهرة,حرية سلام وعدالة، الثورة خيار الشعب.. بهذا الهتاف تجمع عدد من أبناء الجالية السودانية أما مقر سفارتهم بالقاهرة مطالبين برحيل البشير، وطالب المتظاهرون الرئيس المصري المنتخب بإعلان التضامن مع ثورة الشعب السوداني وقطع كافة العلاقات مع نظام البشير.  تقرير: هيثم ذكي مونتاج: إيناس مرزوق,"في, عسكري, حكم, حرية, بخصوص, المصري اليوم, السودان, قوات, from, مصر, مكافحة, ديني, حول, Video Journalism, مظاهرت, video, Journalism, in, عنف, ثورة, الأمن, البشير, تعذيب, صحافة, احتجاز, عدل, اعتقال, News, انتفاضة, Egypt, القاهرة, on, ترحيل, الداخلية, فيديو, صحافة فيديو, الشغب, اختفاء, قسري, تغطية, أخبار, سفارة, عن, regarding, الشرطة, من, قبض",4078,41,3,/content/drive/MyDrive/EGBI222_Group Project_1/audio/--F7dc-_FSI.mp3,سودان ندعم صحفيه شماه وطالب يطلق الصراحة وبيتنزيل جميع السودانين في جميع العالم مع الجبهة الداخلية ومع الناس في الداخل وانما ستطلعت دي كلها طلعت من جميع السودان من دارفور بانكوردوفان من مير اللازرق من الشمال من الوسط كلها عرغ السودان اكتماعت الآن ويدبول للبشير كفاية جايم فور بشير نهب خيرات السودان بشير دنس شعب السوداني اهان الشعب السوداني اغطل الشعب السوداني يكونوا على الشعب السوداني فالان الشعب السوداني بنتفض شباب السورة السودانية وخفنة امام السفارة السودانية لنا مطالب المطب الاولى هو اسقاط النظام البشير بكل آلاليان المباشر والخير مباشر والان نطالب ايدا بوخف الشعب السوداني والشعب المسري ان تضامنوا مع الشعب كله مع كل الوان الطيب السوداني اقدم نظر عن التجاهاتنا ومختلف التجاهاتنا ومختلف صحاناتنا ومختلف التجاهاتنا ونحن اليوم يجينا ان نؤكد للشعب السوداني ونحن نقف معهم قلبا وقالب ونحن نحن بحركة العديو المساوى السودانية ومات هذا الصور انا لحان سوار حرار سودانيين امتداد للربيع العربي في السوداني,"Sudan is a cultural center in Egypt. We ask for the truth and we want to send all Sudanese from all over the world to the inner mountains and people inside. And all Sudanese people are from Darfur, Kurdistan, the north, the middle, all of Iraq. Sudan is now a community with a lot of people. We are the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people of Sudan, the people All the colors of Sudanese are different from our views, our views, our views. Today, we want to make sure that the Sudanese people stand with them, heart and heart. We are the movement of the Sudanese armed forces. This is the revolution. We are now in the war of Sudanese freedom, the struggle for the Arab Spring in Sudan."
-1BgT-6gEs8,92,132,82,192,144,6.0,0.0,h264,Nonprofits & Activis,https://www.youtube.com/watch?v=-1BgT-6gEs8,video-0024.3gp,,"video, 0024",3,0,0,/content/drive/MyDrive/EGBI222_Group Project_1/audio/-1BgT-6gEs8.mp3,Os minutos que antecedem as cobranças de penas da semifinal do campeonato carioca de 2007. Eis o estázer não dá a vir. Não dá a vir?,The winners receive the penalty charges of the 100th final of the Carioca Championship of 2007. He is the one who can't win. Can't win?
-6KJC-Ug8LA,249,385,276,320,240,29.97,0.0,h264,News & Politics,https://www.youtube.com/watch?v=-6KJC-Ug8LA,Madeleine McCann,"Evidence in the hunt for Madeleine McCann is being reviewed by the Home Office    EVIDENCE in the hunt for Madeleine McCann is being reviewed by the Home Office and could lead to a fresh inquiry, it was claimed yesterday.    Two thousand pages of evidence were released last week amid claims Portuguese detectives failed to follow up leads.    According to sources close to the McCanns, Home Secretary Alan Johnson has ordered ­officials to examine the feasibility of British or Portuguese detectives having a fresh look at all the evidence.    Kate and Gerry McCann, of Rothley, Leics, recently met Mr Johnson to plead for help in their search for their daughter who vanished aged three in 2007 from a holiday apartment in Praia da Luz, Portugal.    The source said: The latest we have heard from the Home Office is officials are undertaking a scoping exercise to look into the possibility of a review of the case.    They are looking at all the options.    A Home Office spokesman said: Leicestershire Police stand ready to co-ordinate and complete inquiries if further information comes to light in the UK.    http://twitter.com/MadeleineMcCann","OneTrueMedia, Medeleine, McCann",282,3,0,/content/drive/MyDrive/EGBI222_Group Project_1/audio/-6KJC-Ug8LA.mp3,Cold in me for the darker bashing sun These walls of stone You came with wide wonder into all this great unknown The youth,I'm cold in me for the darker badgeson These walls of stone You came with wide wonder into all this great unknown The youth
-795Q-fWWvg,197,451,323,384,288,25.0,25.0,h264,Film & Animation,https://www.youtube.com/watch?v=-795Q-fWWvg,New Stuff United 1.1.1,"This video shows different stuff for the upcoming GTA United Beta 1.2 When I've did this video the plan was to do a Beta 1.1.1., but we changed this plan. The shown stuff will be in 1.2","Carsten, GTA, Worldmods, damn, weil, =), tags, Hasi, WTF, Baum, Strauch, Blub, AMD, Inside, Baumdiagramm, United, öhm",4197,11,3,/content/drive/MyDrive/EGBI222_Group Project_1/audio/-795Q-fWWvg.mp3,graduate another drug dealer ain't this what they mean by carpool,graduate another drug dealer ain't this what they mean by carpool
-9uiVBfOzzg,235,1172,1095,848,480,25.0,0.0,h264,Sports,https://www.youtube.com/watch?v=-9uiVBfOzzg,2010 FIM SuperMoto World Championship - Pleven (BUL),Highlights of the 2010 FIM SuperMoto World Championship in Pleven (Bulgaria),"Bulgaria, World, Pleven, SuperMoto, Championship",217061,313,10,/content/drive/MyDrive/EGBI222_Group Project_1/audio/-9uiVBfOzzg.mp3,"The fourth round at the FIM Supermoto World Championship took place in Plevenburg area. Moto number one, it was a whole shot for Manu Hermunan, Armi Hascovana, closely followed by Davide Gottzini. But Gottzini found a way through into the lead before the end of the first lap. Landon Walsh was in there as well in third position on the Aprilia. And behind him was Giovanni Boussa and Thomas Chirere. Chirere made this move down the inside of Giovanni Boussa to go fourth. The task for him then was to close down the two right sides. So suddenly it was a two-way battle, four second position. Championship leader David Gottsini was about four seconds clear at this point. But Thomas Chirere continued to push and it was a mistake there from Van den Bosch coming out of the left hand up and that allowed Thomas Chirere to go down the inside of his fellow Frenchman for third but then Ravagli had a big crash whilst in fifth position with about two laps to go. Fortunately for him he was okay but the red flag had to come up. The first guy in the championship to him is rival and teammate Thomas Scherrer. As it stood at this point in the race, Gotzini had an eight point advantage over his teammate. Christopher Wagliar, back from that crash, had a good ride and would finish in sixth position on the Valente Zazuki. But the battle for the lead in the championship just suddenly got turned up because going down the inside of his teammate, hard on the brakes, running out of room, Thomas Scherrer found a way through quite literally on his teammate who lost two positions in the exchange. And then was coming under pressure from the number 101 Thierry van der Bosch. So we had Manu Hermanen was leading from Thomas Charest second Adrien Charest was now third and Gotzini was fourth with van der Bosch fifth but taking his first race win since round one 2009 in Italy Manu Hermanen taking his and Husqvarna's first win in 2010 Second was Thomas Charest third Adrien Charest Third and final moto of the day Manu Hermanen starts from pole yet again just like he did in race one and two comes away with another whole shot three out of three for him this weekend second was Adrian Scherere number one and it was the two TMs of Thomas Scherere and Davide Gottzino with their third and fourth Thomas Scherere though couldn't find a way past his brother Adrian on the Husqvarna the defending champion from S2. Now to Herman and though as these two riders were tripping themselves up was starting to creep away about four or five seconds ahead of the dueling brothers before Adrian Scherere made the gesture to his brother to move on by and in doing so So, handed second position in the race and also a share of the championship lead because now we've got Xenian fourth position. It was all square at the top of the championship table. The battle for seventh position and sixth position was sealed when Benderbosch made a smart move around the outside of Giovanni Bussai. But no one rode smart and this guy all day long, Manu Hermunna on the CH Racing, Husqvarna. Having another battle there on the final lap was Christian Ravaglia and Tiaz. This was the battle for fifth and sixth which Rivaglia held on to but it was another win and the overall Grand Prix for Hermunan.","The fourth round at the FIM Supermoto World Championship took place in Pleven, bulk area. Moto number one, it was a whole shot for Manu Hermunan, Armi Hascovana, closely followed by Davida Gotzini. But Gotzini found a way through into the lead before the end of the first lap. Landon Walsh was in there as well in third position on the Aprilia. And behind him was Giovanni Bussai and Thomas Chirere. Chirere made this move down the inside of Giovanni Bussai to go fourth. The task for him then was to close down the two right sides. So suddenly it was a two-way battle, four second position. Championship leader David Gottsini was about four seconds clear at this point. But Thomas Chirere continued to push and it was a mistake there from Van Den Bosch coming out of the left hand up and that allowed Thomas Chirere to go down the inside of his fellow Frenchman for third but then Ravagli had a big crash whilst in fifth position with about two laps to go. Fortunately for him he was okay but the red flag had to come up. So it was a win for Gotzini with Sheree second. Hermunan was third. From Bandambosh and Christian Wagner was actually classified as a finisher because it goes back one lap. The second race all change on the front row of the grid. Gotzini winning the first motoc starts from pole. But once again Manu Hermunan was our whole shot. Winner and he edged out Galattavida Gotzini in that second position. A lucky escape there for the Italians. He came over the first of the double dippers and he was coming out of pressure from the nearest The first guy in the championship to him is rival and teammate Thomas Scherer. As it stood at this point in the race, Gotzini had an eight point advantage over his teammate. Christopher Wagliar back from that crash had a good ride and would finish in sixth position on the Valente Suzuki. But the battle for the lead in the championship just suddenly got turned up because going down the inside of his teammate hard on the brakes running out of room, Thomas Scherer found a way through quite literally on his teammate who lost two positions in the exchange. And then was coming under pressure from the number 101 Thierry van der Bosch. So we had Manu Hermanen was leading from Thomas Charest second Adrien Charest was now third and Gotzini was fourth with van der Bosch fifth but taking his first race win since round one 2009 in Italy Manu Hermanen taking his and Husqvarna's first win in 2010 Second was Thomas Charest third Adrien Charest Third and final moto of the day Manu Hermanen starts from pole yet again just like he did in race one and two comes away with another whole shot three out of three for him this weekend second was Adrian Scherere number one and it was the two TMs of Thomas Scherere and Davido Gazzini with their third and fourth Thomas Scherere though couldn't find a way past his brother Adrian on the Husqvarna the defending champion from S2. Manu Hermann and though as these two riders were tripping themselves up was starting to creep away about four or five seconds ahead of the dueling brothers before Adrian Scherere made the gesture to his brother to move on by and in doing so So, handed second position in the race and also a share of the championship lead because now we've got Xenian fourth position. It was all square at the top of the championship table. The battle for seventh position and sixth position was sealed when Benderbosch made a smart move around the outside of Giovanni Bussai. But no one rode smart and then this guy all day long, Manu Hermunna on the CH Racing, Husqvarna. Having another battle there on the final lap was Christian Ravaglia and Tia Gary Vanden Bosch, this was the battle for fifth and sixth which Rivaglia held on to but it was another win and the overall grand prix for Hermunan."
-AdZx-IIbxQ,150,377,330,512,288,29.97,0.0,h264,News & Politics,https://www.youtube.com/watch?v=-AdZx-IIbxQ,Ann Coulter's Bony Ass Expelled From Ottawa,"CTV - The University of Ottawa cancelled a speech by U.S. firebrand conservative Ann Coulter late Tuesday, just moments before its scheduled start, because organizers feared protesters would turn violent.    As people were still making their way into the venue, the building had to be evacuated when a fire alarm was triggered.     The incident followed a Monday night lecture at the University of Western Ontario, where Coulter told a Muslim student to ""take a camel"" as an alternative to flying.    No word as to what conveyance Coulter chose for her trip to her next speaking engagement in Calgary. A broom? A mad cow?    Ezra Levant, her fellow speaker,  is opposed to trade unions, the minimum wage, universal health care, subsidized tuition and public pension plans (Wikipedia).","racism, hatred, canada, hate, ass, american, crazy, Ann, dumb, cancelled, right, nut, homegrown, ottawa, propaganda, greed, speech, bony, wing, tea, prejudice, bitch, ignorance, Coulter, conservative, bagger, fascism, free, job, republican, terrorist",9428,27,93,/content/drive/MyDrive/EGBI222_Group Project_1/audio/-AdZx-IIbxQ.mp3,"If you had made that list you had a chance to see Ann Coulter in person, but either you couldn't get in, even if you had secured a spot it was no guarantee you'd have a seat. I'm not just mad I'm pissed off. I believe this is ridiculous. You shouldn't be here. Ann Coulter was indeed supposed to be here before 400 people excluding the media. So much attention had it not been for this warning by the university's VP you will realize that Canadian law puts reasonable limits on the freedom of expression for example Promoting hatred against any identifiable group would not only be considered inappropriate, but could in fact lead to criminal charges Fewer than half made it inside mostly supporters and after a police warning this from the host it would be physically dangerous for Ann Coulter to And Lloyd, we didn't get to hear from Ann Coulter tonight, but we'll certainly hear from her on Thursday when she speaks in Calgary. The woman has a lightning rod, no question about that. Just tell us more about the role the police played tonight, Danielle. Well, the police were blocking the doors at one point. There are about 200 people outside. It was noisy, yes, Lloyd, but it was a lot of noise. but certainly not violent and I think police just did not want to take a chance and asked organizers to cancel the entire event. People who had managed to get inside supporters were definitely angry, disappointed, but I can tell you the protesters outside, when we left they were singing, nana nana goodbye Ann Coulter. Now Ann Coulter is due to surface gain as you mentioned in Calgary. This is the kind of thing she likes to write and talk about isn't it? This is golden for her. Absolutely she is laughing. tonight. We thought the letter was going to give Ann Coulter exactly what Ann Coulter wants, which is even more controversy. But after tonight, I'm sure it's going to give her something to write about, certainly talk about, and we'll definitely hear from her on Thursday. All right. Thank you, Danielle. Good night, Lloyd.","If you had made that list you had a chance to see Ann Coulter in person, but either you couldn't get in, even if you had secured a spot it was no guarantee you'd have a seat. Ann Coulter was indeed supposed to be here before 400 people excluding the media. So much attention had it not been for this warning by the university's VP you will realize that Canadian law puts reasonable limits on the freedom of expression for example Promoting hatred against any identifiable group would not only be considered inappropriate But could in fact lead to criminal charges Fewer than half made it inside mostly supporters and after a police warning this from the host it would be physically dangerous for Ann Coulter to And Lloyd, we didn't get to hear from Ann Coulter tonight, but we'll certainly hear from her on Thursday when she speaks in Calgary. The woman has a lightning rod, no question about that. Just tell us more about the role the police played tonight, Danielle. Well, the police were blocking the doors at one point. There are about 200 people outside. It was noisy, yes, Lloyd, but it was a lot of noise. but certainly not violent and I think police just did not want to take a chance and asked organizers to cancel the entire event. People who had managed to get inside supporters were definitely angry, disappointed, but I can tell you the protesters outside when we left they were singing, Nana, Nana, goodbye, Ann Coulter. Now Ann Coulter is due to surface gain as you mentioned in Calgary. This is the kind of thing she likes to write and talk about, isn't it? This is golden for her. Absolutely. tonight. We thought the letter was going to give Ann Coulter exactly what Ann Coulter wants, which is even more controversy. But after tonight, I'm sure it's going to give her something to write about, certainly talk about, and we'll definitely hear from her on Thursday. All right. Thank you, Danielle. Good night, Lloyd."
-BjVb-Z4l_Q,62,531,438,384,288,11.0,0.0,h264,People & Blogs,https://www.youtube.com/watch?v=-BjVb-Z4l_Q,Rudi parkir motor..(cipugur banjaratma,Payah.lehor,,252,0,0,/content/drive/MyDrive/EGBI222_Group Project_1/audio/-BjVb-Z4l_Q.mp3,बाने दिलोरुजना अद्मिरान तब नियान,I am not sure if I will be able to do it.
-ELd7-JdI4s,112,944,880,640,480,25.0,0.0,h264,Howto & Style,https://www.youtube.com/watch?v=-ELd7-JdI4s,cooking with lucas season #4 episode 1,,"cooking, food, kitchen",15,0,0,/content/drive/MyDrive/EGBI222_Group Project_1/audio/-ELd7-JdI4s.mp3,"My name's Lucas and my show is called Cooking With Lucas! Okay today we're gonna be making cookies. Chop up chip. Okay, let's see the rest of the...","My name's Lucas and my show is called Cooking With Lucas! Okay today we're gonna be making cookies. Chop up chip. Okay, let's see the rest of the..."
-FEe7kWJ-6c,245,772,688,480,360,30.0,0.0,h264,Entertainment,https://www.youtube.com/watch?v=-FEe7kWJ-6c,Svengali Card Tricks - Ellusionist Ghost Svengali Deck,"Here are a couple of tricks that can be done with a Svengali deck. They are fun to do, but can be overdone. Too many at one sitting can get predictable. Its a foolproof deck though, so its great for beginners. Enjoy and thanks for watching!!","ellusionist, ghost, deck, tricks, card, svengali",117936,288,60,/content/drive/MyDrive/EGBI222_Group Project_1/audio/-FEe7kWJ-6c.mp3,"Hello again everyone, Alan back once again with a couple more card tricks for you I'm gonna use my bicycle ghost deck today First off I'm gonna riffle down through the deck and you tell me where to stop good All right Your card is a line of diamonds Now I'm gonna leave your nine of diamonds. I'm gonna leave it into the deck now I'm gonna give another cut and Your card is the nine of diamonds My card is the ace of spades now what I'm gonna I'm going to place the ace of spades down on the mat. I'm going to give him a little ripple, a little shake. Your card being the nine of diamonds is now on the mat. The ace of spades is back on top of the deck. I'm going to take and cut the deck, put your card back in the middle, give it a little snap, and the rice is back to the top. I'm going to do that one more time. Cut, snap, back to the top. What I'm going to do is I'm going to make it little nice and easy. There's your card. Nine of diamonds. Middle of a deck. Ripple. Snap. To the top. Now, make a little bit different. I'm going to do four piles right here. You can pick any pile. This pile, this pile, this pile, this pile. This one, it's your card. But what if you've chosen this pile? That's alright. Got that covered. This pile, I got that covered as well. And same over here. What happens when you turn the deck over and you cut the deck? Oh, right to your card. And what that does to the deck when I do that changes the whole deck to your card. Now that's easy to fix. My deck is not screwed up or anything. All I have to do is just give a quick cut like this, face down, and once again back to a normal deck. Now I'm going to cut again to your card the nine of diamonds. I'm going to cut the deck and cut it back to the middle. Now I want you to take a peek and tell me if you see your card. Did you see it? Your card was actually the 23rd card into the deck. So what I do is I riffle down to the 23rd card and there is your card. This is the Bicycle Ghost Spengali deck. There are many other routines that you can do with this deck. That was just a few examples. I did do a deck review on this deck. I just wanted to give a couple quick examples of what you can do with this deck as far as different tricks and routines are concerned. You don't really want to do too many at a one deck because it gets pretty predictable and people know what you're doing. You can use this deck to slip a trick in here and there and it comes off pretty well, especially with the ambitious card routine kind of integrated with it. I really love it. So that's just a few of the tricks you can do with it. I hope you enjoyed that. Thank you very much for watching. Have a wonderful day.","Hello again everyone, Alan back once again with a couple more card tricks for you. I'm going to use my bicycle ghost deck today. First off I'm going to riffle down through the deck and you tell me where to stop. Good? Alright. Your card is a nine of diamonds. Now I'm going to leave your nine of diamonds. I'm going to leave it into the deck. Now I'm going to give another cut. And your card is the nine of diamonds. My card is the ace of spades. I'm going to place the ace of spades down on the mat. I'm going to give him a little ripple, a little shake. Your card being the nine of diamonds is now on the mat. The ace of spades is back on top of the deck. I'm going to take and cut the deck, put your card back in the middle, give it a little snap, and the rice is back to the top. I'm going to do that one more time. Cut, snap, back to the top. What I'm going to do is I'm going to make it It's a little nice and easy. There's your card. Nine of diamonds. Middle of a deck. Ripple. Snap. To the top. Now, make a little bit different. I'm going to do four piles right here. You can pick any pile. This pile, this pile, this pile, this pile. This one, it's your card. But what if you've chosen this pile? That's alright. Got that covered. This pile, I got that covered as well. And same over here. What happens when you turn the deck over and you cut the deck? Oh, right to your card. And what that does to the deck, when I do that, changes the whole deck to your card. Now that's easy to fix. My deck is not screwed up or anything. All I have to do is just give a quick cut like this, face down, and once again, back to a normal deck. Now I'm going to cut, again, to your card, the nine of diamonds. I'm going to cut the deck, cut it back to the middle. Now I want you to take a peek and tell me if you see your card. Did you see it? Your card was actually the 23rd card into the deck. So what I do is I riffle down to the 23rd card and there is your card. This is the Bicycle Ghost Spengali deck. There are many other routines that you can do with this deck. That was just a few examples. I did do a deck review on this deck. I just wanted to give a couple quick examples of what you can do with this deck as far as different tricks and routines are concerned. You don't really want to do too many at a one deck because it gets pretty predictable and people know what you're doing. You can use this deck to slip a trick in here and there and it comes off pretty well, especially with the ambitious card routine kind of integrated with it. I really love it. So that's just a few of the tricks you can do with it. I hope you enjoyed that. Thank you very much for watching. Have a wonderful day."
-G-gz-LphTs,437,2645,2490,1280,720,29.97,29.97,h264,Gaming,https://www.youtube.com/watch?v=-G-gz-LphTs,Battleforge 1vs1 051 PureNature vs Twilight,"I take those game from tournament made by Sikaleon Im casting those games in order and I try to not pick 1-sided games. Every player played 2 games vs 1 oponent, for better oponents I will cast both.  English isn.t my main language and i know that I made alot of mistakes, so feel free to critic and rage about commentary. Thanks for all coments pointing my mistakes, this will help me improve. From each cast I will try to be better.  My ingame name is klotor. I'm around 150 top 1v1 player and I'm mostly playing stoneskin. All my oponents are close to my lvl and all games are ranked.  If you have any ideas to improve my play or replays, leave a comment. And If you want me to add commentary or other stuff to video also leave a comment. For future I will add more Battleforge pvp and pve and also some League of Legends stuff.  Feel free too message me ingame or invite to a game.  If you enjoyed video leave a comment, like it and suppbscribe this helps me alot.  And see you guys in next video.","Tyraello, klotor, Games, Free, Video Game, Tyro, multiplayer, battleforge, Shoutcast, pvp, gameplay, English, gra, 1vs1, Rts, game, Real-time Strategy, Commentary, MrTyraello, Replay",266,6,3,/content/drive/MyDrive/EGBI222_Group Project_1/audio/-G-gz-LphTs.mp3,"Hello and welcome, my name is Trello and this is Battleforge. Today I got a game between Yabro and Disciplet. This is the second game in the series. First game I won't spoil it, but it was pretty short and Yabro made a lot of mistakes. So yeah, check out this matchup and learn something from mistakes of pro players. Yabro is starting with Scavenger and Disciplet with Dryad. Fire vs nature on map HALADURA So twilight deck we're seeing how this app will respond to this I think yes, he won't build his all forces on again mana wing Really funny stuff that we can see in mana wing that often now Yeah, this you can see now strange of mana wing. Okay. I am mistaken Now he sucks to shot me to to shot my wing. Nice I think he didn't knew something new still Mowing sucks second tier what is spell and Venom? let's call it fingers and Venom is really great against half fire but I don't think he got enough firepower to kill everything in this base yeah only one squad left and he don't have... he have an MG to build his own orb or pure nature vs twilight first brewer of the matchup and skyfire this standard combo very strong because Lee hard to counter brewer is great vs range units because he can run away and skyfire is great vs melee units because they can't shoot and attack him I think that he... yeah he's dead I'm not sure why this hyperlid isn't defending. Spirit Hunters won't do anything against this mortal tower. And he needs to start shooting. And this parvail is down. That's all. I see from both players it's a lot of sloppy play. Mistakes on the first matchup and the second matchup also a lot of mistakes. so skyfire will have a lot of chance against them even in our field another mvenom just cost about 50, yeah 75 energy i think mvenom saw is warfare so use heal and he's running for parrel fire sword yeah and this is problem with this deep one because yeah he can walk away now I'm not sure why he want to use this one Last second oink from almost both players You can see, we are waiting period are always boring And oh we can see that those sky friends are full charge on the second level This is also unusual with this type of high level players I'm not sure what decks are playing Yeah, bro, what? Yeah. And this deep one... No, we will not die. And again, we can see this problem with this one deep one. This deep one. That without route he can't attack enough this enemy fire swan to destroy it. Another enemy Venom. And first Ravage to defend it. Yeah, he really should use... green affixion d1 for the for route it's a lot of battery man opinion and yeah and then on this weaker than ravage and even yeah even the don't deal damage if you need that is casted on don't deal damage it's pretty fun as well yeah surrender so if you like this subscribe and see you next time","Hello and welcome, my name is Trelo and this is Battleforge. Today I got a game between Yabro and Disciplet. This is the second game in the series. First game I won't spoil it, but it was pretty short and Yabro made a lot of mistakes. So yeah, check out this matchup and learn something from mistakes of pro players. Yabro is starting with Scavenger and Disciplet with Dryad. Fire vs nature on map HALADU and Yabro is building parwell and Disciplet also parwell but outside of the middle another dryad and Sunstriders yes universe first shot of the game and both players don't want to engage just now oh Yabro is going for monument this is nature monument so twilight deck we're seeing how this apple will respond to this I think yes he won't build his or forces own again manawing really funny stuff that we can see in manawing that often now yeah this you can see now strange of manawing okay I am mistaken now it sucks to shot me to to shot manawing nice I think he didn't knew. Something new. Still, Mowing sucks. Second tier. What is Spell and Venom? Let's call it. Thing is, Ev-Venom is really great against Hellfire. But I don't think he got enough firepower to kill everything in this base. Yeah. Only one squad left. And he don't have... Eh, he have an MG to build his own orb. or pure nature vs twilight first brewer of the matchup and skyfire this standard combo very strong because Lee hard to counter brewer is great vs range units because he can run away and skyfire is great vs melee units because they can't shoot and attack him I think that he... yeah he's dead I'm not sure why this hyperlid isn't defending. Spirit Hunters won't do anything against this mortal tower. And he needs to start shooting. And this parable is down. That's all. I see from both players it's a lot of sloppy play. Mistakes on the first matchup and the second matchup also a lot of mistakes. so skyfire will have a lot of chance against them even in our field another mvenom just cost about 50, yeah 75 energy i think mvenom saw is warfare so use heal and he's running for parrel fire sword yeah and this is problem with this deep one because yeah he can walk away now I'm not sure why he want to use this one Last second owing from almost both players You can see We're waiting period are always boring And oh we can see that those kite friends are in full charge on the second level This is also unusual with this type of high level players I'm not sure what decks are playing Yeah, bro, what? Yeah. And this deep one... No, we will not die. And again, we can see this problem with this one deep one. This deep one. That without route, he can't attack enough this enemy fire swan to destroy it. Another enemy Venom. And first Ravage to defend it. Yeah, he really should use... green affixion d1 for the for route it's a lot of battery man opinion and yeah and then on this weaker than ravage and even yeah even the don't deal damage if you need that is casted on don't deal damage it's pretty fun as well yeah surrender so if you like this subscribe and see you next time"
